지점,지점명,일시(UTC),기압(hPa),고도(gpm),기온(°C),이슬점온도(°C),풍향(deg),풍속(knot)
47102,백령도,2022-03-06 0:00,10,31210,-43.3,-78.3,255,82
47102,백령도,2022-03-06 0:00,20,26480,-41.7,-77.7,255,57
47102,백령도,2022-03-06 0:00,30,23790,-52.5,-84.5,265,47
47102,백령도,2022-03-06 0:00,50,20520,-52.9,-84.9,270,33
47102,백령도,2022-03-06 0:00,70,18350,-57.3,-88.3,280,79
47102,백령도,2022-03-06 0:00,100,16100,-56.5,-87.5,285,88
47102,백령도,2022-03-06 0:00,150,13520,-54.3,-86.3,285,131
47102,백령도,2022-03-06 0:00,200,11660,-50.3,-83.3,280,126
47102,백령도,2022-03-06 0:00,250,10200,-51.3,-75.3,280,106
47102,백령도,2022-03-06 0:00,300,9000,-49.7,-70.7,290,98
47102,백령도,2022-03-06 0:00,400,7060,-37.5,-58.5,300,70
47102,백령도,2022-03-06 0:00,500,5480,-25.9,-43.9,305,54
47102,백령도,2022-03-06 0:00,700,2972,-11.3,-56.3,325,41
47102,백령도,2022-03-06 0:00,850,1467,-7.7,-31.7,330,37
47102,백령도,2022-03-06 0:00,925,811,-6.5,-16.5,340,24
47102,백령도,2022-03-06 0:00,1000,193,-0.5,-14.5,345,23
47102,백령도,2022-03-06 12:00,10,30780,-44.7,-79.7,255,48
47102,백령도,2022-03-06 12:00,20,26200,-49.7,-74.7,260,67
47102,백령도,2022-03-06 12:00,30,23580,-55.7,-76.7,255,54
47102,백령도,2022-03-06 12:00,50,20350,-57.9,-75.9,265,61
47102,백령도,2022-03-06 12:00,70,18230,-60.5,-76.5,280,77
47102,백령도,2022-03-06 12:00,100,16010,-56.7,-71.7,275,86
47102,백령도,2022-03-06 12:00,150,13460,-56.5,-68.5,275,126
47102,백령도,2022-03-06 12:00,200,11630,-53.9,-63.9,270,125
47102,백령도,2022-03-06 12:00,250,10210,-56.9,-63.9,275,131
47102,백령도,2022-03-06 12:00,300,9030,-48.9,-57.9,270,111
47102,백령도,2022-03-06 12:00,400,7090,-36.9,-56.9,285,76
47102,백령도,2022-03-06 12:00,500,5510,-24.5,-47.5,300,52
47102,백령도,2022-03-06 12:00,700,2995,-11.5,-25.5,330,29
47102,백령도,2022-03-06 12:00,850,1481,-2.9,-41.9,335,21
47102,백령도,2022-03-06 12:00,925,812,-3.1,-31.1,345,18
47102,백령도,2022-03-06 12:00,1000,193,0,-12,320,11
47104,북강릉,2022-03-06 0:00,10,30930,-46.9,-72.9,225,40
47104,북강릉,2022-03-06 0:00,20,26240,-52.1,-75.1,255,68
47104,북강릉,2022-03-06 0:00,30,23620,-49.7,-71.7,245,38
47104,북강릉,2022-03-06 0:00,50,20340,-60.1,-80.1,265,68
47104,북강릉,2022-03-06 0:00,70,18220,-61.3,-82.3,285,80
47104,북강릉,2022-03-06 0:00,100,16000,-57.5,-78.5,280,88
47104,북강릉,2022-03-06 0:00,150,13430,-54.9,-75.9,285,121
47104,북강릉,2022-03-06 0:00,200,11570,-49.9,-71.9,285,127
47104,북강릉,2022-03-06 0:00,250,10110,-47.9,-69.9,280,113
47104,북강릉,2022-03-06 0:00,300,8910,-46.1,-68.1,285,98
47104,북강릉,2022-03-06 0:00,400,6970,-39.3,-62.3,300,88
47104,북강릉,2022-03-06 0:00,500,5400,-27.5,-53.5,310,80
47104,북강릉,2022-03-06 0:00,700,2908,-14.9,-37.9,325,51
47104,북강릉,2022-03-06 0:00,850,1432,-10.7,-26.7,325,24
47104,북강릉,2022-03-06 0:00,925,774,-4.9,-22.9,305,20
47104,북강릉,2022-03-06 0:00,1000,155,0.4,-17.6,305,4
47104,북강릉,2022-03-06 12:00,10,30970,-43.7,-78.7,250,17
47104,북강릉,2022-03-06 12:00,20,26330,-44.3,-79.3,260,62
47104,북강릉,2022-03-06 12:00,30,23660,-52.3,-85.3,265,47
47104,북강릉,2022-03-06 12:00,50,20390,-60.1,-90.1,265,61
47104,북강릉,2022-03-06 12:00,70,18260,-55.9,-86.9,275,71
47104,북강릉,2022-03-06 12:00,100,16020,-58.7,-89.7,270,96
47104,북강릉,2022-03-06 12:00,150,13450,-54.1,-86.1,280,129
47104,북강릉,2022-03-06 12:00,200,11600,-53.7,-74.7,275,136
47104,북강릉,2022-03-06 12:00,250,10170,-56.5,-63.5,285,132
47104,북강릉,2022-03-06 12:00,300,8990,-46.7,-55.7,280,142
47104,북강릉,2022-03-06 12:00,400,7050,-38.7,-52.7,295,64
47104,북강릉,2022-03-06 12:00,500,5470,-26.7,-47.7,305,53
47104,북강릉,2022-03-06 12:00,700,2968,-10.9,-37.9,330,29
47104,북강릉,2022-03-06 12:00,850,1464,-5.9,-22.9,285,9
47104,북강릉,2022-03-06 12:00,925,795,-0.3,-13.3,270,3
47104,북강릉,2022-03-06 12:00,1000,168,3.2,-8.8,150,6
47122,오산,2022-03-06 0:00,10,30960,-38.9,-75.9,275,56
47122,오산,2022-03-06 0:00,20,26310,-46.1,-78.1,240,44
47122,오산,2022-03-06 0:00,30,23620,-51.1,-78.1,260,58
47122,오산,2022-03-06 0:00,50,20400,-60.7,-87.7,260,52
47122,오산,2022-03-06 0:00,70,18270,-59.1,-84.1,290,74
47122,오산,2022-03-06 0:00,100,16060,-61.3,-88.3,280,90
47122,오산,2022-03-06 0:00,150,13520,-56.1,-82.1,285,137
47122,오산,2022-03-06 0:00,200,11660,-50.7,-75.7,280,142
47122,오산,2022-03-06 0:00,250,10190,-48.5,-69.5,280,122
47122,오산,2022-03-06 0:00,300,8990,-48.7,-66.7,285,109
47122,오산,2022-03-06 0:00,400,7050,-37.5,-58.5,295,77
47122,오산,2022-03-06 0:00,500,5470,-26.7,-47.7,310,65
47122,오산,2022-03-06 0:00,700,2963,-11.7,-57.7,320,50
47122,오산,2022-03-06 0:00,850,1464,-9.1,-38.1,330,36
47122,오산,2022-03-06 0:00,925,809,-6.9,-19.9,325,20
47122,오산,2022-03-06 0:00,1000,194,-1.3,-17.3,300,11
47122,오산,2022-03-06 6:00,10,31030,-43.3,-78.3,245,34
47122,오산,2022-03-06 6:00,20,26350,-45.3,-80.3,250,53
47122,오산,2022-03-06 6:00,30,23660,-50.7,-83.7,260,49
47122,오산,2022-03-06 6:00,50,20410,-61.5,-91.5,265,59
47122,오산,2022-03-06 6:00,70,18300,-60.3,-90.3,280,71
47122,오산,2022-03-06 6:00,100,16070,-59.5,-89.5,275,84
47122,오산,2022-03-06 6:00,150,13520,-55.9,-86.9,280,135
47122,오산,2022-03-06 6:00,200,11660,-52.1,-85.1,280,152
47122,오산,2022-03-06 6:00,250,10210,-49.9,-69.9,285,127
47122,오산,2022-03-06 6:00,300,9020,-47.9,-62.9,285,142
47122,오산,2022-03-06 6:00,400,7080,-36.9,-56.9,290,81
47122,오산,2022-03-06 6:00,500,5490,-25.3,-48.3,295,58
47122,오산,2022-03-06 6:00,700,2970,-9.9,-45.9,325,38
47122,오산,2022-03-06 6:00,850,1453,-7.3,-27.3,355,23
47122,오산,2022-03-06 6:00,925,792,-3.7,-18.7,300,11
47122,오산,2022-03-06 6:00,1000,170,2.4,-17.6,275,13
47122,오산,2022-03-06 12:00,10,30940,-45.9,-80.9,265,28
47122,오산,2022-03-06 12:00,20,26290,-45.1,-80.1,255,65
47122,오산,2022-03-06 12:00,30,23630,-52.3,-84.3,265,46
47122,오산,2022-03-06 12:00,50,20380,-60.1,-90.1,275,59
47122,오산,2022-03-06 12:00,70,18270,-57.9,-88.9,275,72
47122,오산,2022-03-06 12:00,100,16060,-59.9,-89.9,270,89
47122,오산,2022-03-06 12:00,150,13500,-56.5,-80.5,280,127
47122,오산,2022-03-06 12:00,200,11660,-54.1,-70.1,270,141
